iter	RMSE
0	66.85731444
1	62.22195505
2	57.41288452
3	53.39810336
4	49.35292877
5	45.74357889
6	42.61994014
7	39.645597
8	36.91664699
9	34.58481427
10	32.32810721
11	30.24377732
12	28.30729077
13	26.43066118
14	24.55657049
15	23.01031415
16	21.63719933
17	20.1951961
18	19.06547486
19	17.77025636
20	16.62380897
21	15.63523657
22	14.72745427
23	13.94345923
24	13.29772773
25	12.58972505
26	11.89835073
27	11.35076248
28	10.79316802
29	10.27360897
30	9.732704109
31	9.367936215
32	8.959271625
33	8.625681524
34	8.26456809
35	7.909166568
36	7.579143983
37	7.283127438
38	7.051409294
39	6.812283055
40	6.539768154
41	6.288238634
42	6.083639034
43	5.926809052
44	5.76041311
45	5.571679666
46	5.413795427
47	5.24711808
48	5.102321261
49	4.969928847
50	4.8563101
51	4.734020893
52	4.60526638
53	4.473440539
54	4.357624597
55	4.265297823
56	4.157146606
57	4.088646343
58	4.012694222
59	3.930918429
60	3.865602944
61	3.788988231
62	3.723892142
63	3.638958205
64	3.576704987
65	3.515867495
66	3.458577053
67	3.41781767
68	3.377495784
69	3.335343246
70	3.281448645
71	3.239959607
72	3.196146483
73	3.160982255
74	3.130714004
75	3.091208186
76	3.046665998
77	2.99491691
78	2.950433847
79	2.910067934
80	2.877372285
81	2.838365249
82	2.807085689
83	2.783613088
84	2.749152239
85	2.723147168
86	2.686438254
87	2.661429074
88	2.635504644
89	2.613030054
90	2.58501249
91	2.568079457
92	2.54826679
93	2.517465819
94	2.482639197
95	2.461291025
96	2.443566414
97	2.423186961
98	2.398396901
99	2.381264364
