iter	Passed	Remaining
0	179	179584
1	182	90903
2	184	61316
3	187	46646
4	189	37682
5	192	31838
6	194	27545
7	196	24373
8	199	21931
9	201	19951
10	204	18361
11	206	16997
12	208	15831
13	210	14797
14	212	13926
15	214	13162
16	215	12476
17	217	11873
18	219	11324
19	220	10807
20	221	10345
21	223	9936
22	224	9547
23	225	9189
24	227	8856
25	228	8550
26	229	8277
27	230	8008
28	231	7755
29	232	7523
30	233	7309
31	235	7120
32	237	6945
33	238	6769
34	239	6599
35	240	6436
36	241	6288
37	242	6148
38	243	6007
39	244	5877
40	245	5752
41	246	5632
42	248	5522
43	249	5415
44	250	5309
45	251	5209
46	252	5112
47	253	5021
48	254	4934
49	255	4851
50	256	4767
51	257	4688
52	258	4611
53	259	4538
54	260	4467
55	261	4402
56	262	4335
57	262	4271
58	263	4209
59	264	4149
60	265	4090
61	266	4035
62	267	3983
63	268	3933
64	269	3881
65	270	3830
66	271	3782
67	272	3736
68	273	3691
69	274	3648
70	275	3605
71	276	3562
72	277	3522
73	278	3481
74	279	3443
75	280	3409
76	281	3374
77	282	3340
78	283	3307
79	284	3274
80	285	3241
81	286	3211
82	287	3181
83	289	3152
84	290	3123
85	291	3094
86	292	3066
87	293	3039
88	294	3011
89	295	2983
90	296	2956
91	296	2930
92	297	2904
93	298	2878
94	299	2854
95	300	2830
96	301	2805
97	302	2782
98	303	2758
99	304	2736
100	304	2713
101	305	2692
102	306	2671
103	307	2651
104	308	2631
105	309	2612
106	310	2592
107	311	2573
108	312	2555
109	313	2537
110	314	2518
111	315	2500
112	316	2483
113	317	2465
114	318	2448
115	319	2433
116	320	2417
117	321	2401
118	322	2385
119	322	2368
120	323	2352
121	324	2336
122	325	2322
123	326	2308
124	327	2294
125	328	2279
126	329	2265
127	330	2251
128	331	2238
129	332	2225
130	333	2212
131	334	2199
132	335	2187
133	336	2174
134	337	2162
135	338	2149
136	339	2138
137	340	2125
138	341	2113
139	342	2101
140	342	2087
141	343	2074
142	344	2063
143	345	2053
144	346	2042
145	347	2031
146	348	2019
147	348	2008
148	349	1998
149	350	1987
150	351	1978
151	352	1968
152	353	1958
153	354	1948
154	355	1939
155	356	1929
156	357	1919
157	358	1910
158	359	1901
159	360	1891
160	361	1882
161	362	1873
162	363	1864
163	363	1854
164	365	1847
165	365	1838
166	366	1830
167	367	1821
168	368	1812
169	369	1803
170	370	1795
171	371	1786
172	372	1779
173	373	1771
174	374	1763
175	374	1755
176	375	1747
177	376	1739
178	377	1732
179	378	1725
180	379	1717
181	380	1710
182	381	1702
183	382	1695
184	383	1688
185	384	1682
186	385	1676
187	386	1669
188	387	1663
189	388	1657
190	389	1651
191	390	1644
192	391	1638
193	392	1632
194	393	1625
195	394	1618
196	395	1611
197	396	1605
198	397	1599
199	398	1593
200	399	1587
201	400	1580
202	401	1574
203	401	1568
204	402	1562
205	403	1555
206	404	1550
207	405	1544
208	406	1538
209	407	1533
210	408	1526
211	409	1521
212	410	1515
213	411	1510
214	412	1505
215	413	1499
216	414	1493
217	414	1488
218	415	1483
219	416	1477
220	417	1472
221	418	1467
222	419	1462
223	420	1456
224	421	1451
225	422	1446
226	423	1441
227	424	1436
228	425	1431
229	426	1426
230	427	1421
231	427	1416
232	428	1411
233	430	1409
234	431	1405
235	432	1400
236	433	1395
237	434	1390
238	435	1386
239	436	1381
240	437	1377
241	438	1372
242	439	1368
243	440	1363
244	440	1358
245	441	1354
246	442	1349
247	443	1346
248	444	1341
249	445	1337
250	446	1333
251	447	1328
252	448	1324
253	449	1319
254	450	1315
255	451	1311
256	452	1307
257	453	1303
258	454	1299
259	455	1295
260	456	1291
261	457	1287
262	458	1283
263	458	1279
264	459	1275
